ORDEN,PEATON,AUTOMOVIL,CAMPAERO,CAMIONETA,MICRO,BUSETA,BUS,CAMION,VOLQUETA,MOTO,BICICLETA,DIURNIO/NOCTURNO,GRAVEDAD
242,0,0,0,0,0,0,1,0,0,0,0,Nocturno,Solo Daños
243,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
244,0,0,0,1,0,0,0,0,0,1,0,Diurno,Con Heridos
245,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
246,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
247,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
248,0,0,0,0,0,1,0,1,0,0,0,Diurno,Solo Daños
249,0,1,0,0,0,0,0,1,0,1,0,Nocturno,Solo Daños
250,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
251,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
252,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
253,0,1,0,0,0,0,0,0,1,0,0,Diurno,Solo Daños
254,0,2,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
255,0,0,1,0,0,1,0,0,0,0,0,Nocturno,Solo Daños
256,0,0,1,0,0,1,0,0,0,0,0,Diurno,Solo Daños
257,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
258,2,1,0,0,0,0,0,0,0,0,0,Diurno,Con Heridos
259,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
260,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
261,0,1,0,0,0,0,0,0,1,0,0,Diurno,Solo Daños
262,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Solo Daños
263,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
264,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
265,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
266,0,2,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
267,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
268,1,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Muertos
269,0,0,0,0,0,0,0,2,0,0,0,Diurno,Solo Daños
270,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
271,1,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
272,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
273,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
274,0,1,1,0,0,0,0,0,0,0,0,Nocturno,Con Heridos
275,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
276,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
277,0,0,1,0,0,0,0,0,0,1,0,Diurno,Solo Daños
278,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
279,0,2,0,0,0,0,0,0,0,0,0,Diurno,Con Heridos
280,0,0,0,0,0,0,0,1,0,0,0,Nocturno,Solo Daños
281,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
282,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
283,0,1,0,0,0,0,0,0,0,2,0,Diurno,Solo Daños
284,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
285,0,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
286,0,0,0,0,0,0,0,0,0,2,0,Nocturno,Con Heridos
287,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
288,0,2,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
289,0,1,0,0,0,0,0,0,0,0,0,Diurno,Con Heridos
290,0,0,2,0,0,0,0,0,0,0,0,Diurno,Solo Daños
291,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
292,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
293,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
294,0,0,0,0,1,0,0,1,0,0,0,Diurno,Solo Daños
295,0,0,0,1,0,0,0,0,1,0,0,Diurno,Solo Daños
296,0,0,1,1,0,0,0,0,0,0,0,Diurno,Solo Daños
297,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
298,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
299,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
300,0,0,0,0,0,0,0,0,0,2,0,Diurno,Solo Daños
301,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
302,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
303,0,0,0,1,0,0,0,1,0,0,0,Diurno,Solo Daños
304,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
305,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
306,0,1,0,0,0,0,1,0,0,0,0,Diurno,Solo Daños
307,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
308,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
309,0,0,0,1,0,0,0,0,0,1,0,Diurno,Con Heridos
310,0,1,0,0,1,0,0,0,0,0,0,Nocturno,Solo Daños
311,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
312,0,1,0,1,0,0,0,0,0,0,0,Nocturno,Solo Daños
313,0,0,1,0,0,1,0,0,0,0,0,Diurno,Solo Daños
314,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
315,0,1,0,0,0,0,1,0,0,0,0,Nocturno,Solo Daños
316,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
317,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
318,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Solo Daños
319,0,0,0,1,0,0,0,0,0,1,0,Diurno,Con Heridos
320,0,0,0,1,0,0,1,0,0,0,0,Diurno,Solo Daños
321,0,1,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
322,0,1,1,0,0,0,0,0,0,0,0,Diurno,Con Heridos
323,0,1,0,0,1,0,0,0,0,0,0,Diurno,Solo Daños
324,0,0,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
325,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
326,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
327,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
328,1,1,0,0,0,0,0,0,0,0,0,Diurno,Con Heridos
329,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
330,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
331,0,1,0,1,0,0,0,0,0,0,0,Diurno,Con Heridos
332,0,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
333,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
334,0,1,0,0,0,1,0,0,0,0,0,Diurno,Solo Daños
335,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
336,0,1,0,1,0,0,0,0,0,1,0,Nocturno,Solo Daños
337,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
338,0,1,0,0,1,0,0,0,0,0,0,Diurno,Solo Daños
339,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
340,0,0,0,0,0,0,0,0,0,2,0,Nocturno,Con Heridos
341,0,1,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
342,0,2,0,0,0,1,0,0,0,0,0,Diurno,Solo Daños
343,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
344,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
345,1,1,0,0,0,0,0,0,0,0,0,Nocturno,Con Heridos
346,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
347,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
348,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
349,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
350,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
351,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
352,0,0,0,1,0,0,0,0,0,1,0,Diurno,Con Heridos
353,0,1,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
354,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
355,1,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
356,0,0,1,0,0,0,0,0,0,1,0,Diurno,Con Heridos
357,1,1,0,0,0,0,0,0,0,0,0,Nocturno,Con Heridos
358,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
359,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
360,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
361,0,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
362,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
363,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
364,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
365,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
366,0,1,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
367,1,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
368,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Solo Daños
369,0,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
370,0,0,0,1,0,0,0,0,0,1,0,Diurno,Con Heridos
371,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
372,0,1,0,1,0,0,0,0,0,0,0,Nocturno,Solo Daños
373,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
374,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
375,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
376,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
377,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
378,0,0,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
379,0,0,0,1,0,0,0,0,0,1,0,Diurno,Solo Daños
